category,tag_id,proposed_label,test,source_metric,kind,stream,criterion_id,differential_hint,cutoff,current_cutoff,current_fire_pct,cutoff_source,cutoff_pctile,break_depth,valid_for,fire_pct,not_evaluable_pct,fire_pct_extended,not_evaluable_pct_extended,fire_pct_truncated,not_evaluable_pct_truncated,fire_pct_separate,not_evaluable_pct_separate,max_jaccard,nearest_tag,examples_on,examples_off,blocked,note,decision,reviewer_notes
D,d3_mass_spec_tx_n_validated_unique_peptides,Mass-spec validated,tx:n_validated_unique_peptides >= 0.0703125,tx:n_validated_unique_peptides,code,criterion,D3_mass_spec,False,0.0703125,1.0,21.5,break,79.0,1.0,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,21.5,5.8,47.34,2.79,10.76,7.07,38.14,3.15,0.279,isoform_conservation_phastcons_at_tis_lo,"ASPM, CBX1, CBX1","ACBD5, ADAR, AJUBA",,,,
D,d1_multi_cell_line_tx_n_cell_lines,Seen in multiple cell lines,tx:n_cell_lines >= 1.11719,tx:n_cell_lines,code,criterion,D1_multi_cell_line,False,1.1171875,3.0,21.22,break,68.0,1.0,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,32.0,0.0,70.23,0.0,18.51,0.0,39.19,0.0,0.337,isoform_conservation_phastcons_unique_region_mean_lo,"ASPM, CBX1, CBX1","ACBD5, ADAR, AJUBA",,Biased by the campaign's --drop-unsupported-tis HeLa restriction.,,
D,tis_pvalue_hi,Weak detection p-value,tis_pvalue >= 0.00397848,tis_pvalue,code,sweep,,False,0.0039784787060507,,,break,67.0,1.0,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,33.97,0.0,11.6,0.0,43.73,0.0,10.81,0.0,0.341,isoform_conservation_frame_summary_tree_loaded,"AJUBA, ATP9A, CDC34","ACBD5, ADAR, APC",,,remove,"[detection statistic] A raw caller p-value at an arbitrary cutoff, and this direction fires on WEAKER evidence. Detection strength is already scored by D1/D2."
D,d2_initiation_efficiency_tx_max_initiation_efficiency,Efficient start site,tx:max_initiation_efficiency >= 0.0294118,tx:max_initiation_efficiency,code,criterion,D2_initiation_efficiency,False,0.0294117647058823,0.01,76.94,percentile,60.0,,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,40.04,0.67,65.18,0.2,29.43,0.69,62.3,2.03,0.401,isoform_conservation_frame_summary_tree_loaded,"ACBD5, CBX1, CBX1","ADAR, AJUBA, APC",,,,
D,cmp_massspec_hits_in_diff_region_len_hi,Peptides in unique region,cmp_massspec_hits_in_diff_region__len >= 0.609375,cmp_massspec_hits_in_diff_region__len,code,sweep,,True,0.609375,,,break,72.0,1.0,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,28.55,0.0,94.43,0.0,0.0,0.0,94.82,0.0,0.485,isoform_conservation_phastcons_at_tis_lo,"ADAR, AJUBA, APC","ACBD5, ATP9A, CBX1",,,remove,"[ORF-type artifact] Fires 94% in one ORF type and 0.0% in the other, by construction. It re-derives orf_type instead of measuring the isoform."
L,cmp_targetp_targetp_ctp_prob_changed,Chloroplast transit changes,cmp_targetp_targetp_ctp_prob_changed is true,cmp_targetp_targetp_ctp_prob_changed,bool,bool,,True,,,,,,,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"ACBD5, ADAR, AJUBA",,,remove,"[no variance] Fires on 0% of the corpus, so it separates nothing. A pipeline status flag or a condition that never occurs in human data."
L,cmp_signalp_signalp_cleavage_site_changed,Signal cleavage site moves,cmp_signalp_signalp_cleavage_site_changed is true,cmp_signalp_signalp_cleavage_site_changed,bool,bool,,True,,,,,,,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,1.47,5.25,3.21,5.04,1.03,5.12,0.0,7.21,0.038,isoform_conservation_frame_mammalian_start_codon_conserved_lo,,"ACBD5, ADAR, AJUBA",,,,
L,cmp_signalp_signalp_prediction_changed,Signal peptide changes,cmp_signalp_signalp_prediction_changed is true,cmp_signalp_signalp_prediction_changed,bool,bool,,True,,,,,,,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,5.25,0.0,5.04,0.0,5.12,0.0,7.21,0.0,0.064,isoform_conservation_phastcons_unique_region_mean_lo,"MAD2L1, MAD2L1","ACBD5, ADAR, AJUBA",,,,
L,cmp_localization_deeploc_membrane_changed,Membrane association changes,cmp_localization_deeploc_membrane_changed is true,cmp_localization_deeploc_membrane_changed,bool,bool,,True,,,,,,,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,16.87,0.0,9.08,0.0,16.41,0.0,47.97,0.0,0.166,isoform_conservation_frame_summary_tree_loaded,"AJUBA, CGGBP1, MAD2L1","ACBD5, ADAR, APC",,,,
L,isoform_targetp_targetp_probability_lo,Uncertain targeting call,isoform_targetp_targetp_probability < 0.808583,isoform_targetp_targetp_probability,code,sweep,,False,0.8085830801562499,,,break,12.0,0.7575757575757576,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,11.79,0.0,14.52,0.0,6.32,0.0,58.11,0.0,0.243,cmp_targetp_targetp_prediction_changed,"ADAR, CMC2, ETAA1","ACBD5, AJUBA, APC",,,remove,"[prediction confidence] Measures how CONFIDENT the predictor is, not what it predicts. Confidence is a property of the model, not a difference between isoforms."
L,isoform_localization_deeploc_prob_nucleus_hi,Predicted nuclear,isoform_localization_deeploc_prob_nucleus >= 0.755753,isoform_localization_deeploc_prob_nucleus,code,sweep,,False,0.7557533574837726,,,break,81.0,0.6532258064516129,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,19.17,0.0,19.83,0.0,20.69,0.0,1.58,0.0,0.267,isoform_localization_deeploc_prob_cytoplasm_lo,"CBX1, CBX1, CBX1","ACBD5, ADAR, AJUBA",,,,
L,cmp_localization_deeploc_prediction_changed,Localization changes,cmp_localization_deeploc_prediction_changed is true,cmp_localization_deeploc_prediction_changed,bool,bool,,True,,,,,,,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,29.81,0.0,16.25,0.0,29.69,0.0,77.03,0.0,0.295,isoform_conservation_frame_summary_tree_loaded,"ADAR, ASPM, ATP9A","ACBD5, AJUBA, APC",,,remove,"[separate-ORF artifact] Fires 77% on uORF/uoORF/internal-OOF but under 30% on extensions and truncations. Those ORFs have no shared region and are short, so this tracks that structural fact, not biology."
L,isoform_localization_deeploc_prob_cytoplasm_lo,Predicted non-cytoplasmic,isoform_localization_deeploc_prob_cytoplasm < 0.362252,isoform_localization_deeploc_prob_cytoplasm,code,sweep,,False,0.362252439346048,,,break,32.0,0.4741379310344827,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,31.1,0.0,35.41,0.0,31.66,0.0,10.81,0.0,0.312,isoform_conservation_frame_summary_tree_loaded,"ACBD5, ATP9A, CBX1","ADAR, AJUBA, APC",,,,
L,cmp_localization_deeploc_signals_changed,Sorting signals change,cmp_localization_deeploc_signals_changed is true,cmp_localization_deeploc_signals_changed,bool,bool,,True,,,,,,,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,18.84,16.64,9.4,9.68,20.32,14.79,58.24,59.01,0.319,cmp_localization_deeploc_prediction_changed,"DELE1, EIF2B1, ETAA1","ACBD5, APC, ASPM",,,,
L,cmp_targetp_targetp_prediction_changed,Targeting changes,cmp_targetp_targetp_prediction_changed is true,cmp_targetp_targetp_prediction_changed,bool,bool,,True,,,,,,,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,14.08,0.0,11.74,0.0,12.39,0.0,39.19,0.0,0.336,cmp_signalp_signalp_prediction_changed,"CMC2, DELE1, ETAA1","ACBD5, ADAR, AJUBA",,,,
L,cmp_targetp_targetp_cleavage_site_changed,Transit peptide site moves,cmp_targetp_targetp_cleavage_site_changed is true,cmp_targetp_targetp_cleavage_site_changed,bool,bool,,True,,,,,,,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,3.63,13.9,5.62,11.47,2.86,12.28,5.13,38.51,0.456,cmp_signalp_signalp_cleavage_site_changed,,"ACBD5, ADAR, AJUBA",,,,
L,isoform_localization_deeploc_top_prob_hi,Confident localization call,isoform_localization_deeploc_top_prob >= 0.757291,isoform_localization_deeploc_top_prob,code,sweep,,False,0.7572907547955401,,,break,61.0,0.2992700729927007,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,39.15,0.0,41.18,0.0,41.64,0.0,6.98,0.0,0.486,isoform_localization_deeploc_prob_nucleus_hi,"ACBD5, CBX1, CBX1","ADAR, AJUBA, APC",,,remove,"[prediction confidence] Measures how CONFIDENT the predictor is, not what it predicts. Confidence is a property of the model, not a difference between isoforms."
M,m1_pathogenic_variant_enrichment_isoform_plm_vep_constraint_enrichment,Unique region constraint-enriched,isoform_plm_vep_constraint_enrichment >= (no cutoff),isoform_plm_vep_constraint_enrichment,code,criterion,M1_pathogenic_variant_enrichment,True,,0.0,,,,,truncated,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"ACBD5, ADAR, AJUBA","stale metric: PLMVEPModule emits constraint_delta (unique minus shared mean logP, cutoff 0.0) but full_catalog carries only isoform_plm_vep_constraint_enrichment, whose values are strictly positive and span orders of magnitude — a ratio, not a difference. The genome-wide run predates the rename, so the frozen distribution describes a different quantity than the scorer computes and no cutoff may be derived from it. M1 rests on its gnomAD branch until the run is regenerated.",M1 is either-or over two independent signals; the gnomAD branch is a separate candidate. On extensions BOTH are uninformative — the region was never coding.,,
M,start_codon_variant_cluster,Variants at the alternative start,judged by the M tool loop,,llm,llm,,False,,,,,,,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"ACBD5, ADAR, AJUBA",,Do variants concentrate on the alternative start codon itself? Reader: query_variants. Cites: variant count within the start-codon window.,,
M,variant_hotspot_in_unique_region,"Variant hotspot, not diffuse spread",judged by the M tool loop,,llm,llm,,False,,,,,,,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"ACBD5, ADAR, AJUBA",,"Do the unique-region variants cluster tightly, or spread evenly? Reader: variant_position_histogram. Cites: fraction on the 10 busiest residues.",,
M,isoform_clinical_summary_by_consequence_inframe_insertion_hi,Inframe insertions reported,isoform_clinical_summary.by_consequence.inframe_insertion >= 9.46094,isoform_clinical_summary.by_consequence.inframe_insertion,code,sweep,,False,9.4609375,,,break,84.0,1.0,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,16.45,16.64,11.79,19.03,18.27,16.03,13.19,14.64,0.165,isoform_localization_deeploc_prob_nucleus_hi,"APC, ASPM, INCENP","ACBD5, ADAR, AJUBA",,,remove,"[whole-protein] A whole-protein variant count: r=0.997 and 99.3% identical to the canonical protein's own value. Dominated by the shared core, so it describes the gene rather than the alternative isoform."
M,isoform_plm_vep_mean_llr_isoform_lo,Isoform poorly predicted,isoform_plm_vep_mean_llr_isoform < -2.17501,isoform_plm_vep_mean_llr_isoform,code,sweep,,False,-2.175014717128652,,,break,11.0,0.8846153846153846,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,10.94,0.0,1.46,0.0,7.49,0.0,78.15,0.0,0.238,isoform_targetp_targetp_probability_lo,"ADAR, ATP9A, CGGBP1","ACBD5, AJUBA, APC",,,remove,"[separate-ORF artifact] Fires 78% on uORF/uoORF/internal-OOF but under 7% on extensions and truncations. Those ORFs have no shared region and are short, so this tracks that structural fact, not biology."
M,isoform_plm_vep_n_constrained_positions_shared_lo,Few constrained residues in core,isoform_plm_vep_n_constrained_positions_shared < 0.632812,isoform_plm_vep_n_constrained_positions_shared,code,sweep,,False,0.6328125,,,break,27.0,1.0,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,26.15,0.0,17.71,0.0,21.71,0.0,100.0,0.0,0.301,cmp_localization_deeploc_prediction_changed,"ADAR, APC, CBX1","ACBD5, AJUBA, ASPM",,,remove,"[separate-ORF artifact] Fires 100% on uORF/uoORF/internal-OOF but under 22% on extensions and truncations. Those ORFs have no shared region and are short, so this tracks that structural fact, not biology."
M,m1_pathogenic_variant_enrichment_isoform_variant_intersection_gnomad_depletion_ratio,Population variation avoided,isoform_variant_intersection_gnomad_depletion_ratio < 1,isoform_variant_intersection_gnomad_depletion_ratio,code,criterion,M1_pathogenic_variant_enrichment,False,1.0,0.8,11.65,anchor,31.0,,extended|truncated,30.81,6.92,31.56,0.0,30.55,0.07,,100.0,0.308,isoform_conservation_frame_summary_tree_loaded,"AJUBA, CBX5, CDC34","ACBD5, ASPM, ATP9A",,Lower = more constrained; runs opposite to the ESM-C branch.,,
M,m2_clinical_variant_overlap_isoform_variant_intersection_disease_enrichment_ratio,Disease variants concentrated,isoform_variant_intersection_disease_enrichment_ratio >= 1.04703,isoform_variant_intersection_disease_enrichment_ratio,code,criterion,M2_clinical_variant_overlap,True,1.0470327369332546,1.0,37.11,percentile,60.0,,extended|truncated,31.26,7.09,5.18,0.13,40.0,0.27,,100.0,0.313,isoform_conservation_frame_summary_tree_loaded,"ACBD5, CBX5, DELE1","AJUBA, ASPM, ATP9A",,,,
M,isoform_plm_vep_n_constrained_positions_unique_hi,Constrained residues gained,isoform_plm_vep_n_constrained_positions_unique >= 0.5625,isoform_plm_vep_n_constrained_positions_unique,code,sweep,,False,0.5625,,,break,60.0,1.0,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,40.17,0.0,14.72,0.0,49.82,0.0,28.6,0.0,0.403,isoform_conservation_frame_summary_tree_loaded,"AJUBA, APC, ATP9A","ACBD5, ADAR, ASPM",,,,
M,isoform_varianteffect_mean_delta_llr_unique_gnomad_magnitude,Population variants shift fitness,abs:isoform_varianteffect_mean_delta_llr_unique_gnomad >= 1.68664,abs:isoform_varianteffect_mean_delta_llr_unique_gnomad,code,sweep,,True,1.686637848329037,,,break,41.0,0.543859649122807,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,59.74,1.83,5.94,1.79,80.74,0.42,20.43,16.22,0.597,isoform_conservation_frame_summary_tree_loaded,"AJUBA, APC, ATP9A","ACBD5, ADAR, ASPM",,magnitude of a signed delta — direction carries no information here,remove,"[ORF-type confound] Fires 6% on extensions vs 81% on truncations. An extension's unique region was never coding, so ESM-C scores it out-of-distribution — this measures sequence predictability, not constraint. The exact confound issue #30 cites as its motivating failure."
M,isoform_plm_vep_mean_llr_unique_region_lo,Unique region poorly predicted,isoform_plm_vep_mean_llr_unique_region < -1.79661,isoform_plm_vep_mean_llr_unique_region,code,sweep,,True,-1.7966145260937574,,,break,36.0,0.6712328767123288,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,35.93,0.0,89.39,0.0,13.48,0.0,82.43,0.0,0.639,cmp_massspec_hits_in_diff_region_len_hi,"ACBD5, ADAR, ASPM","AJUBA, APC, ATP9A",,,remove,"[ORF-type confound] Fires 89% on extensions vs 13% on truncations. An extension's unique region was never coding, so ESM-C scores it out-of-distribution — this measures sequence predictability, not constraint. The exact confound issue #30 cites as its motivating failure."
P,conflicting_evidence,Confidence conflicts with geometry,judged by the P tool loop,,llm,llm,,False,,,,,,,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"ACBD5, ADAR, AJUBA",,Does a structural signal survive its own confidence gate? Reader: plddt_profile. Cites: pLDDT over the element in question.,,
P,extension_docks_against_core,Extension packs against the core,judged by the P tool loop,,llm,llm,,False,,,,,,,extended,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"ACBD5, ADAR, AJUBA",,"Does the extension contact a specific core surface, or merely sit near it? Reader: contacts. Cites: number of core contact partners.",,
P,isoform_structure_sse_all_elements_len_lo,Little secondary structure,isoform_structure_sse_all_elements__len < 3.44531,isoform_structure_sse_all_elements__len,code,sweep,,False,3.4453125,,,break,22.0,1.0,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,21.97,0.0,11.07,0.0,19.56,0.0,83.56,0.0,0.268,isoform_structure_plddt_isoform_mean_lo,"ADAR, APC, ASPM","ACBD5, AJUBA, CBX1",,,remove,"[separate-ORF artifact] Fires 84% on uORF/uoORF/internal-OOF but under 20% on extensions and truncations. Those ORFs have no shared region and are short, so this tracks that structural fact, not biology."
P,p2_shared_structural_change_isoform_structure_rmsd_shared,Shared core refolds,isoform_structure_rmsd_shared >= 14.6337,isoform_structure_rmsd_shared,code,criterion,P2_shared_structural_change,False,14.633663283707,2.0,83.07,percentile,60.0,,extended|truncated,40.59,20.86,42.19,7.89,40.0,17.41,,100.0,0.406,isoform_conservation_frame_summary_tree_loaded,"ACBD5, CBX1, CBX1","AJUBA, CBX1, CBX1",,Only meaningful when tx:min_shared_plddt clears its gate.,,
P,isoform_structure_plddt_isoform_mean_lo,Low-confidence fold,isoform_structure_plddt_isoform_mean < 0.649912,isoform_structure_plddt_isoform_mean,code,sweep,,False,0.6499123778928256,,,break,18.0,0.3928571428571428,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,17.62,6.79,4.3,7.56,16.65,7.05,69.34,1.58,0.419,isoform_plm_vep_mean_llr_isoform_lo,"ADAR, ATP9A, CBX1","ACBD5, AJUBA, CBX1",,,remove,"[prediction confidence] A whole-protein structure-confidence score, dominated by the shared core. P1 already scores confidence where it matters — the differential region — so this adds noise, not signal."
P,p1_structured_extension_isoform_structure_plddt_diffregion_mean,Differential region folds,isoform_structure_plddt_diffregion_mean >= 0.849964,isoform_structure_plddt_diffregion_mean,code,criterion,P1_structured_extension,True,0.8499638809380741,0.7,79.91,percentile,60.0,,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,40.01,13.97,21.95,7.56,50.35,17.34,9.38,1.58,0.474,isoform_varianteffect_mean_delta_llr_unique_gnomad_magnitude,"CCT3, CDC34, CDC34","ACBD5, ADAR, AJUBA",,,,
P,isoform_structure_ptm_canonical_hi,Confident canonical fold,isoform_structure_ptm_canonical >= 0.661773,isoform_structure_ptm_canonical,code,sweep,,False,0.6617733071325347,,,break,52.0,0.7013888888888888,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,48.7,14.33,49.36,6.37,49.33,17.34,40.4,10.81,0.487,isoform_conservation_frame_summary_tree_loaded,"CDC34, CDC34, EIF2B1","ACBD5, ADAR, AJUBA",,,remove,"[gene property] Measures the SHARED / canonical region — the part the isoform retains unchanged. That is a property of the gene, not of the isoform's difference."
P,isoform_structure_tm_score_lo,Overall fold diverges,isoform_structure_tm_score < 0.535852,isoform_structure_tm_score,code,sweep,,False,0.5358523152181014,,,break,43.0,0.4454545454545454,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,42.61,14.72,29.34,7.56,41.6,17.34,99.74,12.39,0.586,p2_shared_structural_change_isoform_structure_rmsd_shared,"ACBD5, ADAR, CBX1","AJUBA, CBX1, CDC34",,,,
P,isoform_structure_ptm_isoform_hi,Confident isoform fold,isoform_structure_ptm_isoform >= 0.597385,isoform_structure_ptm_isoform,code,sweep,,False,0.5973853451653849,,,break,55.0,0.4923076923076923,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,45.64,6.79,52.87,7.56,47.07,7.05,8.92,1.58,0.692,isoform_structure_ptm_canonical_hi,"AJUBA, CCT3, CDC34","ACBD5, ADAR, ATP9A",,,remove,"[prediction confidence] A whole-protein structure-confidence score, dominated by the shared core. P1 already scores confidence where it matters — the differential region — so this adds noise, not signal."
S,isoform_motifs_summary_sh3_classi_hi,Many SH3 class-I motifs,isoform_motifs_summary.SH3_ClassI >= 0.046875,isoform_motifs_summary.SH3_ClassI,code,sweep,,False,0.046875,,,break,84.0,1.0,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,16.93,0.0,21.88,0.0,16.36,0.0,5.86,0.0,0.213,isoform_motifs_summary_eb1_sxip_density_per100aa_hi,"APC, DELE1, FMR1","ACBD5, ADAR, AJUBA",,,remove,"[whole-protein] A whole-protein motif density: r=0.366 and 88.8% identical to the canonical protein's own value. Dominated by the shared core, so it describes the gene rather than the alternative isoform."
S,cmp_biophysics_pi_shared_hi,Basic shared core,cmp_biophysics_pI_shared >= 9.02235,cmp_biophysics_pI_shared,code,sweep,,False,9.02235396875,,,break,80.0,0.5955056179775281,extended|truncated,19.55,8.82,17.3,1.86,20.31,2.17,,100.0,0.222,isoform_localization_deeploc_prob_cytoplasm_lo,"ASPM, ATP9A, GTPBP6","ACBD5, AJUBA, CBX1",,,remove,"[gene property] Measures the SHARED / canonical region — the part the isoform retains unchanged. That is a property of the gene, not of the isoform's difference."
S,isoform_motifs_summary_rg_rich_hi,Many RG-rich stretches,isoform_motifs_summary.RG_rich >= 0.0234375,isoform_motifs_summary.RG_rich,code,sweep,,False,0.0234375,,,break,84.0,1.0,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,16.87,0.0,25.99,0.0,15.12,0.0,3.6,0.0,0.226,isoform_motifs_summary_density_1433_per100aa_hi,"ACBD5, APC, ASPM","ADAR, AJUBA, ATP9A",,,remove,"[whole-protein] A whole-protein motif density: r=0.635 and 85.8% identical to the canonical protein's own value. Dominated by the shared core, so it describes the gene rather than the alternative isoform."
S,isoform_sae_top_lost_feature_index_hi,High lost-feature index,isoform_sae_top_lost_feature_index >= 13572.4,isoform_sae_top_lost_feature_index,code,sweep,,False,13572.405703125,,,break,78.0,0.9546351084812624,extended|truncated|uorf|uoorf|internal_oof|3utr_orf|alt_orf,22.66,0.0,13.26,0.0,24.04,0.0,40.54,0.0,0.226,isoform_conservation_frame_summary_tree_loaded,"ACBD5, ADAR, CBX1","AJUBA, APC, ASPM",,,remove,"[arbitrary identifier] An SAE feature INDEX is a position in a 16,384-entry codebook, not a quantity. Thresholding it is like filtering on gene ID."
